Mod:Item:MetaData, Localized Name
forestry:farm_gourd:1, Ферма бахчевых (руководство)
forestry:farm_nether:0, Адская ферма (управляемый)
forestry:farm_nether:1, Адская ферма (руководство)
forestry:farm_ender:0, Ферма Края (управляемый)
forestry:farm_ender:1, Ферма Края (руководство)
forestry:peat_bog:0, Торфяник (управляемый)
forestry:peat_bog:1, Торфяник (руководство)
forestry:engine_electrical:0, Электродвигатель
forestry:engine_generator:0, Биогенератор
malisisdoors:wood_sliding_door, Деревянная стеклянная дверь
malisisdoors:iron_sliding_door, Железная стеклянная дверь
malisisdoors:jail_door, Тюремная дверь
malisisdoors:laboratory_door, Лабораторная дверь
malisisdoors:factory_door, Фабричная дверь
malisisdoors:shoji_door, Дверь Сёдзи
malisisdoors:curtain_white, Белая штора
malisisdoors:curtain_orange, Оранжевая штора
malisisdoors:curtain_magenta, Пурпурная штора
malisisdoors:curtain_light_blue, Голубая штора
malisisdoors:curtain_yellow, Жёлтая штора
malisisdoors:curtain_lime, Лаймовая штора
malisisdoors:curtain_pink, Розовая штора
malisisdoors:curtain_gray, Серая штора
malisisdoors:curtain_silver, Светло-серая штора
malisisdoors:curtain_cyan, Бирюзовая штора
malisisdoors:curtain_purple, Фиолетовая штора
malisisdoors:curtain_blue, Синяя штора
malisisdoors:curtain_brown, Коричневая штора
malisisdoors:curtain_green, Зелёная штора
malisisdoors:curtain_red, Красная штора
malisisdoors:curtain_black, Чёрная штора
malisisdoors:customdooritem, Пользовательская дверь
malisisdoors:saloon, Дверь салуна
malisisdoors:sliding_trapdoor, Задвижной люк
malisisdoors:trapdoor_acacia, Люк из акации
malisisdoors:trapdoor_birch, Люк из берёзы
malisisdoors:trapdoor_dark_oak, Люк из тёмного дуба
malisisdoors:trapdoor_jungle, Люк из тропического дерева
malisisdoors:trapdoor_spruce, Люк из ели
malisisdoors:camofencegate, Камуфляжная калитка
malisisdoors:verticalhatch, Бронированная дверь
malisisdoors:garage_door, Гаражная дверь
malisisdoors:carriage_door, Дверь-фрейм
malisisdoors:medieval_door, Средневековая дверь
malisisdoors:big_door_oak_3x3, Large Oak Double Doors
malisisdoors:big_door_spruce_3x3, Large Spruce Double Doors
malisisdoors:big_door_birch_3x3, Large Birch Double Doors
malisisdoors:big_door_jungle_3x3, Large Jungle Double Doors
malisisdoors:big_door_acacia_3x3, Large Acacia Double Doors
malisisdoors:big_door_dark_oak_3x3, Large Dark Oak Double Doors
malisisdoors:big_door_iron_3x3, Large Iron Double Doors
malisisdoors:big_door_rusty_3x3, Large Rusty Iron Double Doors
malisisdoors:rustyhatch, Ржавый люк
malisisdoors:rustyhandle, Ржавый вентиль
malisisdoors:rustyladder, Ржавая лестница
malisisdoors:door_factory, Дверная фабрика
malisisdoors:forcefielditem, Контроллер силового поля
malisisdoors:hitechdoor, Высокотехнологичная дверь
sereneseasons:greenhouse_glass:0, Тепличное стекло
sereneseasons:season_sensor_spring:0, Сенсор времени года
sereneseasons:season_sensor_summer:0, Сенсор времени года
sereneseasons:season_sensor_autumn:0, Сенсор времени года
sereneseasons:season_sensor_winter:0, Сенсор времени года
sereneseasons:ss_icon, СС иконка
sereneseasons:season_clock, Сезонные часы
thaumcraft:ore_amber, Янтароносный камень
thaumcraft:ore_cinnabar, Киноварь
thaumcraft:ore_quartz, Кварцевая руда
thaumcraft:crystal_aer, Кристалл воздуха
thaumcraft:crystal_ignis, Кристалл огня
thaumcraft:crystal_aqua, Кристалл воды
thaumcraft:crystal_terra, Кристалл земли
thaumcraft:crystal_ordo, Кристалл порядка
thaumcraft:crystal_perditio, Кристалл энтропии
thaumcraft:crystal_vitium, Кристалл Выбросов
thaumcraft:stone_arcane, Мистический камень
thaumcraft:stone_arcane_brick, Кирпичи из мистического камня
thaumcraft:stone_ancient, Древний камень
thaumcraft:stone_ancient_tile, Плита из древнего камня
thaumcraft:stone_ancient_rock, Древний булыжник
thaumcraft:stone_ancient_glyphed, Расписанный камень
thaumcraft:stone_ancient_doorway, Древний Барьер
thaumcraft:stone_eldritch_tile, Потусторонний камень
thaumcraft:stone_porous, Пористый камень
thaumcraft:stairs_arcane, Ступеньки из мистического камня
thaumcraft:stairs_arcane_brick, Ступеньки из кирпичей мистического камня
thaumcraft:stairs_ancient, Ступеньки из древнего камня
thaumcraft:slab_arcane_stone:0, Плита из мистического камня
thaumcraft:slab_arcane_brick:0, Плита из кирпичей мистического камня
thaumcraft:slab_ancient:0, Плита из древнего камня
thaumcraft:slab_eldritch:0, Плита из потустороннего камня
thaumcraft:sapling_greatwood, Саженец великого дерева
thaumcraft:sapling_silverwood, Саженец серебряного дерева
thaumcraft:log_greatwood, Бревно великого дерева
thaumcraft:log_silverwood, Бревно серебряного дерева
thaumcraft:leaves_greatwood, Листья великого дерева
thaumcraft:leaves_silverwood, Листья серебряного дерева
thaumcraft:shimmerleaf, Мерцающий лист
thaumcraft:cinderpearl, Тлеющая жемчужина
thaumcraft:vishroom, Висомор
thaumcraft:plank_greatwood, Доски из великого дерева
thaumcraft:plank_silverwood, Доски из серебряного дерева
thaumcraft:stairs_greatwood, Ступеньки из великого дерева
thaumcraft:stairs_silverwood, Ступеньки из серебряного дерева
thaumcraft:slab_greatwood:0, Плита из великого дерева
thaumcraft:slab_silverwood:0, Плита из серебряного дерева
thaumcraft:amber_block, Янтарный блок
thaumcraft:amber_brick, Янтарные кирпичи
thaumcraft:flesh_block, Блок плоти
thaumcraft:loot_crate_common, Обычный ящик
thaumcraft:loot_crate_uncommon, Необычный ящик
thaumcraft:loot_crate_rare, Редкий ящик
thaumcraft:loot_urn_common, Обычная урна
thaumcraft:loot_urn_uncommon, Необычная урна
thaumcraft:loot_urn_rare, Редкая урна
thaumcraft:taint_fibre, Волокнистое заражение
thaumcraft:taint_crust, Поверхностное заражение
thaumcraft:taint_soil, Заражённая почва
thaumcraft:taint_rock, Заражённый камень
thaumcraft:taint_geyser, Заражённый гейзер
thaumcraft:taint_feature, Разбухшее заражение
thaumcraft:taint_log, Бревно Зараженного дерева
thaumcraft:grass_ambient, Дёрн окружения
thaumcraft:table_wood, Деревянный стол
thaumcraft:table_stone, Каменный стол
thaumcraft:pedestal_arcane, Мистический пьедестал
thaumcraft:pedestal_ancient, Древний пьедестал
thaumcraft:pedestal_eldritch, Потусторонний пьедестал
thaumcraft:metal_brass, Латунный блок
thaumcraft:metal_thaumium, Блок таумиума
thaumcraft:metal_void, Блок пустотного металла
thaumcraft:metal_alchemical, Алхимическая конструкция
thaumcraft:metal_alchemical_advanced, Продвинутая алхимическая конструкция
thaumcraft:paving_stone_travel, Брусчатка путешественника
thaumcraft:paving_stone_barrier, Камень-барьер
thaumcraft:pillar_arcane, Наполняющая колонна
thaumcraft:pillar_ancient, Древняя наполняющая колонна
thaumcraft:pillar_eldritch, Потусторонняя наполняющая колонна
thaumcraft:matrix_speed, Наполняющий камень скорости
thaumcraft:matrix_cost, Наполняющий камень затрат
thaumcraft:candle_white, Белая сальная свеча
thaumcraft:candle_orange, Оранжевая сальная свеча
thaumcraft:candle_magenta, Пурпурная сальная свеча
thaumcraft:candle_lightblue, Голубая сальная свеча
thaumcraft:candle_yellow, Жёлтая сальная свеча
thaumcraft:candle_lime, Лаймовая сальная свеча
thaumcraft:candle_pink, Розовая сальная свеча
thaumcraft:candle_gray, Серая сальная свеча
thaumcraft:candle_silver, Светло-серая сальная свеча
thaumcraft:candle_cyan, Бирюзовая сальная свеча
thaumcraft:candle_purple, Фиолетовая сальная свеча
thaumcraft:candle_blue, Синяя сальная свеча
thaumcraft:candle_brown, Коричневая сальная свеча
thaumcraft:candle_green, Зелёная сальная свеча
thaumcraft:candle_red, Красная сальная свеча
thaumcraft:candle_black, Чёрная сальная свеча
thaumcraft:banner_white, Белое знамя
thaumcraft:banner_orange, Оранжевое знамя
thaumcraft:banner_magenta, Пурпурное знамя
thaumcraft:banner_lightblue, Голубое знамя
thaumcraft:banner_yellow, Жёлтое знамя
thaumcraft:banner_lime, Лаймовое знамя
thaumcraft:banner_pink, Розовое знамя
thaumcraft:banner_gray, Серое знамя
thaumcraft:banner_silver, Светло-серое знамя
thaumcraft:banner_cyan, Бирюзовое знамя
thaumcraft:banner_purple, Фиолетовое знамя
thaumcraft:banner_blue, Синее знамя
thaumcraft:banner_brown, Коричневое знамя
thaumcraft:banner_green, Зелёное знамя
thaumcraft:banner_red, Красное знамя
thaumcraft:banner_black, Чёрное знамя
thaumcraft:banner_crimson_cult, Знамя багрового культа
thaumcraft:nitor_white, Белый нитор
thaumcraft:nitor_orange, Оранжевый нитор
thaumcraft:nitor_magenta, Пурпурный нитор
thaumcraft:nitor_lightblue, Голубой нитор
thaumcraft:nitor_yellow, Жёлтый нитор
thaumcraft:nitor_lime, Лаймовый нитор
thaumcraft:nitor_pink, Розовый нитор
thaumcraft:nitor_gray, Серый нитор
thaumcraft:nitor_silver, Светло-серый нитор
thaumcraft:nitor_cyan, Бирюзовый нитор
thaumcraft:nitor_purple, Фиолетовый нитор
thaumcraft:nitor_blue, Синий нитор
thaumcraft:nitor_brown, Коричневый нитор
thaumcraft:nitor_green, Зелёный нитор
thaumcraft:nitor_red, Красный нитор
thaumcraft:nitor_black, Чёрный нитор
thaumcraft:vis_battery, Вис-батарея
thaumcraft:inlay, Redstone Inlay
thaumcraft:arcane_workbench, Мистический верстак
thaumcraft:arcane_workbench_charger, Заряжатель мистического верстака
thaumcraft:dioptra, Таумическая диоптрия
thaumcraft:research_table, Стол исследований
thaumcraft:crucible, Тигель
thaumcraft:arcane_ear, Мистическое ухо
thaumcraft:arcane_ear_toggle, Мистическое ухо (Переключённое)
thaumcraft:lamp_arcane, Мистический светильник
thaumcraft:lamp_fertility, Светильник скрещивания
thaumcraft:lamp_growth, Светильник роста
thaumcraft:levitator, Мистический подъёмник
thaumcraft:centrifuge, Центрифуга эссенции
thaumcraft:bellows, Мистические меха
thaumcraft:smelter_basic, Плавильня эссенции
thaumcraft:smelter_thaumium, Плавильня эссенции из таумиума
thaumcraft:smelter_void, Плавильня эссенции из пустотного металла
thaumcraft:smelter_aux, Вспомогательный жидкостный насос
thaumcraft:smelter_vent, Вспомогательный вентиляционный порт
thaumcraft:alembic, Перегонный куб
thaumcraft:recharge_pedestal, Пьедестал подзарядки
thaumcraft:wand_workbench, Конфигуратор линз
thaumcraft:hungry_chest, Голодный сундук
thaumcraft:tube, Труба для эссенции
thaumcraft:tube_valve, Клапан трубы для эссенции
thaumcraft:tube_restrict, Ограничивающая труба для эссенции
thaumcraft:tube_oneway, Направляющая труба для эссенции
thaumcraft:tube_filter, Фильтрующая труба для эссенции
thaumcraft:tube_buffer, Буфер для эссенции
thaumcraft:jar_normal, Банка
thaumcraft:jar_void, Пустотная банка
thaumcraft:jar_brain, Мозг в банке
thaumcraft:infusion_matrix, Руническая матрица
thaumcraft:infernal_furnace, Адская печь
thaumcraft:everfull_urn, Неиссякающая урна
thaumcraft:thaumatorium, Тауматорий
thaumcraft:thaumatorium_top, Тауматорий
thaumcraft:brain_box, Мнемоническая матрица
thaumcraft:spa, Мистическая ванна
thaumcraft:golem_builder, Пресс големов
thaumcraft:mirror, Магическое зеркало
thaumcraft:mirror_essentia, Зеркало эссенции
thaumcraft:essentia_input, Наполняющий передатчик эссенции
thaumcraft:essentia_output, Опустошающий передатчик эссенции
thaumcraft:redstone_relay, Редстоуновое реле
thaumcraft:pattern_crafter, Мистический шаблонный сборщик
thaumcraft:potion_sprayer, Разбрызгиватель зелий
thaumcraft:activator_rail, Мистические активирующие рельсы
thaumcraft:stabilizer, Стабилизатор
thaumcraft:vis_generator, Генератор Вис
thaumcraft:condenser, Конденсатор Выбросов
thaumcraft:condenser_lattice, Решётка конденсатора Выбросов
thaumcraft:condenser_lattice_dirty, Засоренная решётка конденсатора Выбросов
thaumcraft:void_siphon, Пустотный сифон
thaumcraft:hole, Пространственный разлом
thaumcraft:effect_shock, Статическое поле
thaumcraft:effect_sap, Истощающее поле
thaumcraft:effect_glimmer, Мерцание
thaumcraft:placeholder_brick, Адская печь
thaumcraft:placeholder_obsidian, Адская печь
thaumcraft:placeholder_bars, Пресс големов
thaumcraft:placeholder_anvil, Пресс големов
thaumcraft:placeholder_cauldron, Пресс големов
thaumcraft:placeholder_table, Пресс големов
thaumcraft:empty, Пустое пространство
thaumcraft:barrier, Охраняющая аура
chisel:blockaluminum:0, Алюминиевый блок
chisel:blockaluminum:1, Алюминиевый блок
chisel:blockaluminum:2, Алюминиевый блок
chisel:blockaluminum:3, Алюминиевый блок
chisel:blockaluminum:4, Алюминиевый блок
chisel:blockaluminum:5, Алюминиевый блок
chisel:blockaluminum:6, Алюминиевый блок
chisel:andesite:0, Андезит
chisel:andesite:1, Андезит
chisel:andesite:2, Андезит
chisel:andesite:3, Андезит
chisel:andesite:4, Андезит
chisel:andesite:5, Андезит
chisel:andesite:6, Андезит
chisel:andesite:7, Андезит
chisel:andesite:8, Андезит
chisel:andesite:9, Андезит
chisel:andesite:10, Андезит
chisel:andesite:11, Андезит
chisel:andesite:12, Андезит
chisel:andesite:13, Андезит
chisel:andesite:14, Андезит
chisel:andesite:15, Андезит
chisel:andesite1:0, Андезит
chisel:andesite1:1, Андезит
chisel:andesite1:2, Андезит
chisel:andesite1:3, Андезит
chisel:andesite1:4, Андезит
chisel:andesite1:5, Андезит
chisel:andesite1:6, Андезит
chisel:andesite1:7, Андезит
chisel:andesite1:8, Андезит
chisel:andesite1:9, Андезит
chisel:andesite1:10, Андезит
chisel:andesite1:11, Андезит
chisel:andesite1:12, Андезит
chisel:andesite1:13, Андезит
chisel:andesite1:14, Андезит
chisel:andesite1:15, Андезит
chisel:andesite2:0, Андезит
chisel:antiblock:0, Анти-блок
chisel:antiblock:1, Анти-блок
chisel:antiblock:2, Анти-блок
chisel:antiblock:3, Анти-блок
chisel:antiblock:4, Анти-блок
chisel:antiblock:5, Анти-блок
chisel:antiblock:6, Анти-блок
chisel:antiblock:7, Анти-блок
chisel:antiblock:8, Анти-блок
chisel:antiblock:9, Анти-блок
chisel:antiblock:10, Анти-блок
chisel:antiblock:11, Анти-блок
chisel:antiblock:12, Анти-блок
chisel:antiblock:13, Анти-блок
chisel:antiblock:14, Анти-блок
chisel:antiblock:15, Анти-блок
chisel:arcane_stone:0, Arcane Stone
chisel:arcane_stone:1, Arcane Stone
chisel:arcane_stone:2, Arcane Stone
chisel:arcane_stone:3, Arcane Stone
chisel:arcane_stone:4, Arcane Stone
chisel:arcane_stone:5, Arcane Stone
chisel:arcane_stone:6, Arcane Stone
chisel:arcane_stone:7, Arcane Stone
chisel:arcane_stone:8, Arcane Stone
chisel:arcane_stone:9, Arcane Stone
chisel:arcane_stone:10, Arcane Stone
chisel:arcane_stone:11, Arcane Stone
chisel:arcane_stone:12, Arcane Stone
chisel:arcane_stone:13, Arcane Stone
chisel:arcane_stone:14, Arcane Stone
chisel:arcane_stone:15, Arcane Stone
chisel:arcane_stone1:0, Arcane Stone
chisel:arcane_stone1:1, Arcane Stone
chisel:arcane_stone1:2, Arcane Stone
chisel:arcane_stone1:3, Arcane Stone
chisel:arcane_stone1:4, Arcane Stone
chisel:arcane_stone1:5, Arcane Stone
chisel:arcane_stone1:6, Arcane Stone
chisel:arcane_stone1:7, Arcane Stone
chisel:arcane_stone1:8, Arcane Stone
chisel:arcane_stone1:9, Arcane Stone
chisel:arcane_stone1:10, Arcane Stone
chisel:arcane_stone1:11, Arcane Stone
chisel:arcane_stone1:12, Arcane Stone
chisel:arcane_stone1:13, Arcane Stone
chisel:arcane_stone1:14, Arcane Stone
chisel:arcane_stone1:15, Arcane Stone
chisel:arcane_stone2:0, Arcane Stone
chisel:basalt:0, Базальт
chisel:basalt:1, Базальт
chisel:basalt:2, Базальт
chisel:basalt:3, Базальт
chisel:basalt:4, Базальт
chisel:basalt:5, Базальт
chisel:basalt:6, Базальт
chisel:basalt:7, Базальт
chisel:basalt:8, Базальт
chisel:basalt:9, Базальт
chisel:basalt:10, Базальт
chisel:basalt:11, Базальт
chisel:basalt:12, Базальт
chisel:basalt:13, Базальт
chisel:basalt:14, Базальт
chisel:basalt:15, Базальт
chisel:basalt1:0, Базальт
chisel:basalt1:1, Базальт
chisel:basalt1:2, Базальт
chisel:basalt1:3, Базальт
chisel:basalt1:4, Базальт
chisel:basalt1:5, Базальт
chisel:basalt1:6, Базальт
chisel:basalt1:7, Базальт
chisel:basalt1:8, Базальт
chisel:basalt1:9, Базальт
chisel:basalt2:0, Базальт
chisel:basalt2:1, Базальт
chisel:basalt2:2, Базальт
chisel:basalt2:3, Базальт
chisel:basalt2:4, Базальт
chisel:basalt2:5, Базальт
chisel:basalt2:6, Базальт
chisel:basalt2:7, Базальт
chisel:bookshelf_oak:0, Oak Bookshelf
chisel:bookshelf_oak:1, Oak Bookshelf
chisel:bookshelf_oak:2, Oak Bookshelf
chisel:bookshelf_oak:3, Oak Bookshelf
chisel:bookshelf_oak:4, Oak Bookshelf
chisel:bookshelf_oak:5, Oak Bookshelf
chisel:bookshelf_oak:6, Oak Bookshelf
chisel:bookshelf_oak:7, Oak Bookshelf
chisel:bookshelf_oak:8, Oak Bookshelf
chisel:bookshelf_oak:9, Oak Bookshelf
chisel:bookshelf_spruce:0, Еловая книжная полка
chisel:bookshelf_spruce:1, Еловая книжная полка
chisel:bookshelf_spruce:2, Еловая книжная полка
chisel:bookshelf_spruce:3, Еловая книжная полка
chisel:bookshelf_spruce:4, Еловая книжная полка
chisel:bookshelf_spruce:5, Еловая книжная полка
chisel:bookshelf_spruce:6, Еловая книжная полка
chisel:bookshelf_spruce:7, Еловая книжная полка
chisel:bookshelf_spruce:8, Еловая книжная полка
chisel:bookshelf_spruce:9, Еловая книжная полка
chisel:bookshelf_birch:0, Берёзовая книжная полка
chisel:bookshelf_birch:1, Берёзовая книжная полка
chisel:bookshelf_birch:2, Берёзовая книжная полка
chisel:bookshelf_birch:3, Берёзовая книжная полка
chisel:bookshelf_birch:4, Берёзовая книжная полка
chisel:bookshelf_birch:5, Берёзовая книжная полка
chisel:bookshelf_birch:6, Берёзовая книжная полка
chisel:bookshelf_birch:7, Берёзовая книжная полка
chisel:bookshelf_birch:8, Берёзовая книжная полка
chisel:bookshelf_birch:9, Берёзовая книжная полка
chisel:bookshelf_jungle:0, Книжная полка из тропического дерева
chisel:bookshelf_jungle:1, Книжная полка из тропического дерева
chisel:bookshelf_jungle:2, Книжная полка из тропического дерева
chisel:bookshelf_jungle:3, Книжная полка из тропического дерева
chisel:bookshelf_jungle:4, Книжная полка из тропического дерева
chisel:bookshelf_jungle:5, Книжная полка из тропического дерева
chisel:bookshelf_jungle:6, Книжная полка из тропического дерева
chisel:bookshelf_jungle:7, Книжная полка из тропического дерева
chisel:bookshelf_jungle:8, Книжная полка из тропического дерева
chisel:bookshelf_jungle:9, Книжная полка из тропического дерева
chisel:bookshelf_acacia:0, Акациевая книжная полка
chisel:bookshelf_acacia:1, Акациевая книжная полка
chisel:bookshelf_acacia:2, Акациевая книжная полка
chisel:bookshelf_acacia:3, Акациевая книжная полка
chisel:bookshelf_acacia:4, Акациевая книжная полка
chisel:bookshelf_acacia:5, Акациевая книжная полка
chisel:bookshelf_acacia:6, Акациевая книжная полка
chisel:bookshelf_acacia:7, Акациевая книжная полка
chisel:bookshelf_acacia:8, Акациевая книжная полка
chisel:bookshelf_acacia:9, Акациевая книжная полка
chisel:bookshelf_darkoak:0, Dark Oak Bookshelf
chisel:bookshelf_darkoak:1, Dark Oak Bookshelf
chisel:bookshelf_darkoak:2, Dark Oak Bookshelf
chisel:bookshelf_darkoak:3, Dark Oak Bookshelf
chisel:bookshelf_darkoak:4, Dark Oak Bookshelf
chisel:bookshelf_darkoak:5, Dark Oak Bookshelf
chisel:bookshelf_darkoak:6, Dark Oak Bookshelf
chisel:bookshelf_darkoak:7, Dark Oak Bookshelf
chisel:bookshelf_darkoak:8, Dark Oak Bookshelf
chisel:bookshelf_darkoak:9, Dark Oak Bookshelf
chisel:bricks:0, Кирпичи
chisel:bricks:1, Кирпичи
chisel:bricks:2, Кирпичи
chisel:bricks:3, Кирпичи
chisel:bricks:4, Кирпичи
chisel:bricks:5, Кирпичи
chisel:bricks:6, Кирпичи
chisel:bricks:7, Кирпичи
chisel:bricks:8, Кирпичи
chisel:bricks:9, Кирпичи
chisel:bricks:10, Кирпичи
chisel:bricks:11, Кирпичи
chisel:bricks:12, Кирпичи
chisel:bricks:13, Кирпичи
chisel:bricks:14, Кирпичи
chisel:bricks:15, Кирпичи
chisel:bricks1:0, Кирпичи
chisel:bricks1:1, Кирпичи
chisel:bricks1:2, Кирпичи
chisel:bricks1:3, Кирпичи
chisel:bricks1:4, Кирпичи
chisel:bricks1:5, Кирпичи
chisel:bricks1:6, Кирпичи
chisel:bricks1:7, Кирпичи
chisel:bricks1:8, Кирпичи
chisel:bricks1:9, Кирпичи
chisel:bricks2:0, Кирпичи
chisel:bricks2:1, Кирпичи
chisel:bricks2:2, Кирпичи
chisel:bricks2:3, Кирпичи
chisel:bricks2:4, Кирпичи
chisel:bricks2:5, Кирпичи
chisel:blockbronze:0, Бронзовый блок
chisel:blockbronze:1, Бронзовый блок
chisel:blockbronze:2, Бронзовый блок
chisel:blockbronze:3, Бронзовый блок
chisel:blockbronze:4, Бронзовый блок
chisel:blockbronze:5, Бронзовый блок
chisel:blockbronze:6, Бронзовый блок
chisel:brownstone:0, Brownstone
chisel:brownstone:1, Brownstone
chisel:brownstone:2, Brownstone
chisel:brownstone:3, Brownstone
chisel:brownstone:4, Brownstone
chisel:brownstone:5, Brownstone
chisel:brownstone:6, Brownstone
chisel:brownstone:7, Brownstone
chisel:brownstone:8, Brownstone
chisel:brownstone:9, Brownstone
chisel:certus:0, Block of Certus Quartz
chisel:certus:1, Block of Certus Quartz
chisel:certus:2, Block of Certus Quartz
chisel:certus:3, Block of Certus Quartz
chisel:certus:4, Block of Certus Quartz
chisel:certus:5, Block of Certus Quartz
chisel:certus:6, Block of Certus Quartz
chisel:certus:7, Block of Certus Quartz
chisel:certus:8, Block of Certus Quartz
chisel:certus:9, Block of Certus Quartz
chisel:certus:10, Block of Certus Quartz
chisel:certus:11, Block of Certus Quartz
chisel:certus:12, Block of Certus Quartz
chisel:certus:13, Block of Certus Quartz
chisel:certus:14, Block of Certus Quartz
chisel:certus:15, Block of Certus Quartz
chisel:certus1:0, Block of Certus Quartz
chisel:certus1:1, Block of Certus Quartz
chisel:certus1:2, Block of Certus Quartz
chisel:certus1:3, Block of Certus Quartz
chisel:certus1:4, Block of Certus Quartz
chisel:certus1:5, Block of Certus Quartz
chisel:certus1:6, Block of Certus Quartz
chisel:certus1:7, Block of Certus Quartz
chisel:certus1:8, Block of Certus Quartz
chisel:certus1:9, Block of Certus Quartz
chisel:certus1:10, Block of Certus Quartz
chisel:certus1:11, Block of Certus Quartz
chisel:certus1:12, Block of Certus Quartz
chisel:certus1:13, Block of Certus Quartz
chisel:certus1:14, Block of Certus Quartz
chisel:certus1:15, Block of Certus Quartz
chisel:certus2:0, Block of Certus Quartz
chisel:certus2:1, Block of Certus Quartz
chisel:carpet_black:0, Black Carpet
chisel:carpet_black:1, Black Carpet
chisel:carpet_red:0, Red Carpet
chisel:carpet_red:1, Red Carpet
chisel:carpet_green:0, Green Carpet
chisel:carpet_green:1, Green Carpet
chisel:carpet_brown:0, Brown Carpet
chisel:carpet_brown:1, Brown Carpet
chisel:carpet_blue:0, Blue Carpet
chisel:carpet_blue:1, Blue Carpet
chisel:carpet_purple:0, Purple Carpet
chisel:carpet_purple:1, Purple Carpet
chisel:carpet_cyan:0, Cyan Carpet
chisel:carpet_cyan:1, Cyan Carpet
chisel:carpet_lightgray:0, Light Gray Carpet
chisel:carpet_lightgray:1, Light Gray Carpet
chisel:carpet_gray:0, Gray Carpet
chisel:carpet_gray:1, Gray Carpet
chisel:carpet_pink:0, Pink Carpet
chisel:carpet_pink:1, Pink Carpet
chisel:carpet_lime:0, Lime Carpet
chisel:carpet_lime:1, Lime Carpet
chisel:carpet_yellow:0, Yellow Carpet
chisel:carpet_yellow:1, Yellow Carpet
chisel:carpet_lightblue:0, Light Blue Carpet
chisel:carpet_lightblue:1, Light Blue Carpet
chisel:carpet_magenta:0, Magenta Carpet
chisel:carpet_magenta:1, Magenta Carpet
chisel:carpet_orange:0, Orange Carpet
chisel:carpet_orange:1, Orange Carpet
chisel:carpet_white:0, White Carpet
chisel:carpet_white:1, White Carpet
chisel:block_charcoal:0, Block of Charcoal
chisel:block_charcoal:1, Block of Charcoal
chisel:block_charcoal:2, Block of Charcoal
chisel:block_charcoal:3, Block of Charcoal
chisel:block_charcoal:4, Block of Charcoal
chisel:block_charcoal:5, Block of Charcoal
chisel:block_charcoal:6, Block of Charcoal
chisel:block_charcoal:7, Block of Charcoal
chisel:block_charcoal:8, Block of Charcoal
chisel:block_charcoal:9, Block of Charcoal
chisel:block_charcoal:10, Block of Charcoal
chisel:block_charcoal:11, Block of Charcoal
chisel:block_charcoal:12, Block of Charcoal
chisel:block_charcoal:13, Block of Charcoal
chisel:block_charcoal:14, Block of Charcoal
chisel:block_charcoal:15, Block of Charcoal
chisel:block_charcoal1:0, Block of Charcoal
chisel:block_charcoal1:1, Block of Charcoal
chisel:block_charcoal1:2, Block of Charcoal
chisel:block_charcoal1:3, Block of Charcoal
chisel:block_charcoal1:4, Block of Charcoal
chisel:block_charcoal1:5, Block of Charcoal
chisel:block_charcoal1:6, Block of Charcoal
chisel:block_charcoal1:7, Block of Charcoal
chisel:block_charcoal1:8, Block of Charcoal
chisel:block_charcoal1:9, Block of Charcoal
chisel:block_charcoal1:10, Block of Charcoal
chisel:block_charcoal1:11, Block of Charcoal
chisel:block_charcoal1:12, Block of Charcoal
chisel:block_charcoal1:13, Block of Charcoal
chisel:block_charcoal1:14, Block of Charcoal
chisel:block_charcoal1:15, Block of Charcoal
chisel:block_charcoal2:0, Block of Charcoal
chisel:block_charcoal2:1, Block of Charcoal
chisel:cloud:0, Облако
chisel:cloud:1, Облако
chisel:cloud:2, Облако
chisel:cloud:3, Облако
chisel:cloud:4, Облако
chisel:blockcobalt:0, Кобальтовый блок
chisel:blockcobalt:1, Кобальтовый блок
chisel:blockcobalt:2, Кобальтовый блок
chisel:blockcobalt:3, Кобальтовый блок
chisel:blockcobalt:4, Кобальтовый блок
chisel:blockcobalt:5, Кобальтовый блок
chisel:blockcobalt:6, Кобальтовый блок
chisel:cobblestone:0, Булыжник
chisel:cobblestone:1, Булыжник
chisel:cobblestone:2, Булыжник
chisel:cobblestone:3, Булыжник
chisel:cobblestone:4, Булыжник
chisel:cobblestone:5, Булыжник
chisel:cobblestone:6, Булыжник
chisel:cobblestone:7, Булыжник
chisel:cobblestone:8, Булыжник
chisel:cobblestone:9, Булыжник
chisel:cobblestone:10, Булыжник
chisel:cobblestone:11, Булыжник
chisel:cobblestone:12, Булыжник
chisel:cobblestone:13, Булыжник
chisel:cobblestone:14, Булыжник
chisel:cobblestone:15, Булыжник
chisel:cobblestone1:0, Булыжник
chisel:cobblestone1:1, Булыжник
chisel:cobblestone1:2, Булыжник
chisel:cobblestone1:3, Булыжник
chisel:cobblestone1:4, Булыжник
chisel:cobblestone1:5, Булыжник
chisel:cobblestone1:6, Булыжник
chisel:cobblestone1:7, Булыжник
chisel:cobblestone1:8, Булыжник
chisel:cobblestone1:9, Булыжник
chisel:cobblestone2:0, Булыжник
chisel:cobblestone2:1, Булыжник
chisel:cobblestone2:2, Булыжник
chisel:cobblestone2:3, Булыжник
chisel:cobblestone2:4, Булыжник
chisel:cobblestone2:5, Булыжник
chisel:cobblestone2:6, Булыжник
chisel:cobblestone2:7, Булыжник
chisel:cobblestone2:8, Булыжник
chisel:cobblestone2:9, Булыжник
